State,Program,Eligible,10-year NPV,9/5 model math summary,9/5 internal notes,"Model math summary, late August",Late August internal notes and next steps,10/6/2020 next steps,10/12/2020 Notes,Benefit years,Carryforward years,Eligible taxes to abate,Discretionary level (H-M-L),Discretionary notes,Notes,Program description blurb for ppt,Incentives type,Incentives category,State-program
Pennsylvania,Computer Data Center Equipment Incentive Program,No,$0,"Top-line: If Yes, sales and use tax rate * M&E purchases (one-time and ongonig)

Requirements: 
- Be a data center
- Min payroll of $1M
- If small county (<250K population), min capex $25M; if large county, min capex of $50M",,Top-line: [TAX EXEMPTION WORK],"- Update sales tax rate
- Integrate population county details",,,Within year,n/a tax refund,Tax refund for sales and use tax paid,Low,Application but criteria based,,The Program is designed to attract new investment from businesses that own or operate within a computer data center. (PA Department of Community and Economic Development),5. Credit: Refundable,Investment tax credits,Pennsylvania_Computer Data Center Equipment Incentive Program
Rhode Island,Manufacturers' property tax exemption,No,$0,"Top-line: If Yes, local property rate share of total property tax rate * total property tax rate * cumulative M&E stock (Year 0, onwards; does not include depreciation yet)

Details: SmartAssets says local share of property taxes is ~42.5% (1.226% local tax rate divided by sum of 1.226% local rate and 1.657% state rate)","* Integrate depreciation

* New source. https://smartasset.com/taxes/rhode-island-property-tax-calculator",,,,* Need to fix property tax with depreciation (total figure stays flat),Within year,n/a - tax exemption,n/a - tax exemption,Low,Criteria-based,,State legislation enables local governments in   Rhode Island to exempt or stabilize real estate and/or personal property taxes associated with manufacturing and commercial uses. (RI Department of Commerce),3. Exemption,Tax exemptions,Rhode Island_Manufacturers' property tax exemption
Rhode Island,Qualified Jobs Incentive Tax Credit,No,$0,"Top-line: If Yes, median per job grant of $19,700 from Incentives Monitor * FTEs for 10 years

Eligibility. 4 categories: 
1. If in targeted industry and SME, min job creation of 10 jobs
2. If in targeted industry and large firm, min job creation of 100 jobs
3. If not in targeted industry and SME, min job creation of 20 jobs
4. If not in targeted industry and large firm, min job creation o f100 jobs

Sector:
- In tab: IRS P&L, specific column with a manual match to each IRS label. If IRS label is ""Target industry"", model says ""Yes""",,"Top-line: If Yes, median per job award from Inccentives Monitor of $19,700 per job * FTEs for 10 years","- Reconnect to incentives moniotr
- Check targeted industry",* Add pdf (x1) to compilation file,"* Not supposed to combine with other programs unless receive approval. How to model… if take QJIT, zero out other ""jobs-based"" programs

* PDF section with program guidelines not searchable but is around page 60",10 years,Up to 4 successive years,Take against corporate income taxes or personal income taxes. ,Medium,Application required,,"Program encourages firms to expand their workforce in Rhode Island or relocate jobs from out of state, providing annual, redeemable tax credits for up to 10 years. (Adapted from RI Department of Commerce)",4. Credit: Carryforward,Job tax credits,Rhode Island_Qualified Jobs Incentive Tax Credit
Rhode Island,Anchor Institution Tax Credit (expired 2019),Yes,-,Expired in 2019,,Expired,Not integrated,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Rhode Island_Anchor Institution Tax Credit (expired 2019)
Rhode Island,First Wave Closing Fund (not on Commerce RI website),Yes,-,Not integrated because not on Commerce RI website,,Not integrated,Not integrated,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Rhode Island_First Wave Closing Fund (not on Commerce RI website)
Rhode Island,Investment Tax Credit,No,$0,"Top-line: If Yes, 4% investment tax credit * qualified capex (construction material is structure and M&E)","* Work on carryforward math
* Check targeted sectors crosswalk","Top-line: [TAX EXEMPTION WORK]
If Yes, 4% benefit on qualified capex * qualified capex for 1 year ","- Standard rate checks; what does note on structures mean?
- Need to carryforward",,,1 year,The investment tax credit may not reduce the taxpayer’s liability below the minimum business tax. Unused credits may be carried forward for up to seven years. ,,Low,Criteria-based,,"A manufacturer is allowed a 4% tax credit against the Rhode Island corporate income tax on buildings and structural components, as well as machinery and equipment, which are owned or leased and are principally used in the production process (including storage). (RI Department of Commerce)",4. Credit: Carryforward,Investment tax credits,Rhode Island_Investment Tax Credit
Rhode Island,High Performance Manufacturing Investment Tax Credit,No,$0,"Top-line: If Yes, 4% investment tax credit * qualified capex (construction material is structure, MME, and fixtures since ""tangible personal property"" is listed

Details: 
- Assumes avg. annual wage paid to FTEs in production is greater than state's annual avg. wage paid to production workers in the same SIC codes
- Assumes firm invest at least 2% of total payroll costs in worker training or retrainig

Sector:
- In tab: IRS P&L, specific column with a manual match to each IRS label. If IRS label is ""High performance"", model says ""Yes""","* Work on carryforward math
* Check targeted sectors crosswalk","Top-line: [TAX EXEMPTION WORK]
If Yes, 10% benefit on qualified capex * qualifeid capex",- Need to carryforward; something about structures,,,Assumed 1 year,Unused credits may be carried forward up to 15 years for biotechnology firms and up to seven years for other types of manufacturers. ,,Low,Criteria-based,,"High-performance manufacturers are allowed a 10% investment tax credit against their corporate tax on the cost of qualified lease amounts for tangible personal property or other tangible property, as well as buildings and structural components owned, leased to own or leased for at least 20 years.  (RI Department of Commerce)",4. Credit: Carryforward,Investment tax credits,Rhode Island_High Performance Manufacturing Investment Tax Credit
Rhode Island,High Performance Non-Manufacturing Investment Tax Credit,No,$0,"Top-line: If Yes, 10% investment tax credit * only M&E expenses

Sector:
- In tab: IRS P&L, specific column with a manual match to each IRS label. If IRS label is ""High performance non-manuf"", model says ""Yes""","* Work on carryforward math
* Check targeted sectors crosswalk","Top-line: [TAX EXEMPTION WORK]
If Y I, 10% benefit on qualified capex * qualifeid capex",- Need to carryforward; something about structures,,,Assumed 1 year, The investment tax credit may not reduce the taxpayer's liability below 50% of the taxpayer’s total tax liability before credits for that year. Unused credits may be carried forward up to seven years,,Low,Criteria-based,,"Firms in certain non-manufacturing industries are also able to take the 10% investment tax credit on owned or leased tangible personal property and other tangible property placed in service on or after January 1, 1998. (RI Department of Commerce)",4. Credit: Carryforward,Investment tax credits,Rhode Island_High Performance Non-Manufacturing Investment Tax Credit
Rhode Island,New Employment Tax Incentive,Yes,"$92,735","Top-line: If Yes, [minimum of $2400 max payout per employee or 40% of wages (40% * average salary)] * FTEs for 1 year

Details: Payout comes 52 weeks (1 year) after employment",* Add new source. http://www.employmentincentives.com/state_incentives/documents/Rhode_Island/NewEmpTaxInstructions.pdf,"Top-line: If Yes, minimum of two options for1 year
Option 1. Max payout per job of $2,400 per job * FTEs
Option 2. 40% share of first year wages * average salary * FTEs",- Double check math,,,Assumed 1 year,Assumed no carryforward,Unclear,Low,Application but seems criteria-based,,"Program provides a tax incentive in the form of a deduction or modification of 40% of the employee's first year wages up to $2,400 per employee. (RI Department of Labor and Training)",6. Credit: No carryforward,Job tax credits,Rhode Island_New Employment Tax Incentive
Rhode Island,Job Training Tax Credit,Yes,"$57,538","Top-line: If Yes, [avg. training costs of $1,481 per FTE from external sources divided by a two-year period because only 50% of the credit is allowed in the tax year] * FTEs for proxied 2 years

Details: Must meet 150% of minimum RI wages. Max credit per employee of $5K over 3 years; I did max credit of $5K per FTE divided over 2 year period",* New source on RI min wage of $10.50. https://www.providencejournal.com/news/20200310/ri-gov-raimondo-signs-bill-raising-minimum-wage-by-1-hour,"Top-line: Average training cost per employee of $1,481 from two studies (ADP and elearning) / 2 year window * FTEs",- Why did I divide credit by 2 years?,,,2 years,4 years,"Credit against the corporate income tax (or the insurance premium tax) equal to 50% of eligible training expenditures for new or existing employees. Remember, min tax levels for corporation",,,,The Rhode Island Jobs Training Tax Credits Act (RIGL 42-64.6) provides certain employers tax credits for job training of employees. (Program administration guidelines),4. Credit: Carryforward,Job training grant or credit,Rhode Island_Job Training Tax Credit
Rhode Island,Research and development elective deduction,n/a,$0,Did not model,,Not integrated,Not integrated,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,n/a,Not integrated,Rhode Island_Research and development elective deduction
Rhode Island,Research and development property credit,n/a,$0,Did not integrate fully,,Not integrated,Not integrated,,,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,Not integrated,n/a,Not integrated,Rhode Island_Research and development property credit
Rhode Island,Research and development expense credit,Yes,"-$119,891","Top-line: If Yes, sum credit * QREs in years 1-3 and sum of credits * excess over federal base amount in years 4 onwards

Details
- Years 1-3. Assumed the 5% credit noted in guidelines is for years 1-3
- Years 4+. If excess is less than or equal to $111,111, multiply by 22.5% credit. Excesses over $111,111 are multiplied by 16.9% credit","- Check guidelines on first 3 years
- Add new source. http://www.tax.ri.gov/regulations/other/cr03-07.php",Top-line: [R&D tax credit work],- Standard R&D math check,,* Note the 5% assumption,Within year,7 years; cannot reduce taxes below $450,"See ""LIMITATION AND ORDER OF CREDIT"" section for details. But, model assumes all eligible taxes can be abated. ",Low,n/a,n/a,"A credit is available to corporations, sole proprietors, or passed through from partnerships, joint ventures or subchapter S corporations for qualified research expense. (RI Division of Taxation)",4. Credit: Carryforward,R&D tax credits,Rhode Island_Research and development expense credit
Rhode Island,Sales and Use Tax Exemptions,No,"$792,755","Top-line
- For R&D Centers, sales tax rate * just M&E expenses (year 0 and onwards)",,Top-line: [TAX EXEMPTION WORK],- Standard Sales tax check,,,Within year,n/a - exemption,n/a - sales tax exemption,Low,,Sales and use tax exemption,General sales and use tax exemption for specific sectors. (General description),3. Exemption,Tax exemptions,Rhode Island_Sales and Use Tax Exemptions
South Carolina,Jobs Tax Credit,Yes,"$556,970","Top-line: If Yes, benefit per FTE * FTEs for 5 years. Benefit awards vary based on county tier. 

Details:
- Sector determines minimum jobs
- If qualified service related facility (professional services), complicated mix of jobs-salary-county tiers modeled in table. 
- Bonus of $1000 per FTE if locating in a multi-county industrial park. Assumed ""No"" for now

Note
- If company has less than 99 FTEs and meets sector requirements, min jobs is 2. Not integrated
- For now, model program cap at 50% of liabilities and then let carryforward math tab do the work",,"Top-line: If Yes, benefit per FTE * FTEs for 5 years. Benefit awards vary based on county tier. 
Note: If no county selected, assumed Tier I","- Update county tiers
- Need to fix CIT rates in top half",,* Start in year 2,5 years,15 years,"The credit can be applied against corporate income tax or premium tax, but cannot exceed 50% of the year’s tax liability. Unused credits may be carried forward for 15 years from the year earned.",Low,Criteria-based,,The Jobs Tax Credit is a valuable financial incentive that rewards new and expanding companies for creating jobs in South Carolina. (South Carolina Department of Commerce),4. Credit: Carryforward,Job tax credits,South Carolina_Jobs Tax Credit
South Carolina,Corporate Headquarters Tax Credit,No,$0,"Top-line: If Yes, 20% benefit on corporate income tax liabilty for 5 years

Note: really low CIT liability because of apportionment

Requirements
- Sector: Corporate HQ or R&D center
- Min 40 jobs",,"Top-line: Reversed. If Yes, 20% share of corporate income tax for 10 years.",- Replace wages with state per capita income,,* Triple check but I think it's 5 years with 10 years carryforward… not 10 year benefit,5 years,10 years,Corporate income tax or license fee. These credits are not limited in their ability to eliminate corporate income taxes and can potentially eliminate corporate income taxes for as long as 10 years from the year earned.,Low,Criteria-based,, South Carolina provides a generous 20% tax credit based on the value of the actual portion of the facility dedicated to the headquarters operation or direct lease costs for the first five years of operation. (South Carolina Department of Commerce),4. Credit: Carryforward,Investment tax credits,South Carolina_Corporate Headquarters Tax Credit
South Carolina,Enhanced Corporate Headquarters Tax Credit,No,$0,"Top-line: If Yes, benefit is 20% of personal property , can carry forward up to 15 years. 
- I proxied carry forwad by taking the personal property benefit (20%* personal property) divided by tax liability (sum of CIT and franchise tax) to get applicable years to extend benefit. Then, math is min of tax liability and the benefit for # of years

Requirements
- Sectors (HQ or R&D center), jobs (75), wages (200% * state avg.)",,"Top-line: [FIX WITH TAX EXEMPTION WORK]
In the meantime: If Yes, 20% of personal property share (assumed 45%) of capex for 10 years",- Fix CIT rates in top half,,* Fix corporate income tax rate note,Assume 5 years,15 years,This credit may be used to eliminate both a company’s franchise tax and the corporate income tax. Unused credits may be carried forward for 15 years.,Low,Criteria-based,,"In addition to the standard Corporate Headquarters Tax Credit discussed above, South Carolina offers an additional credit equal to 20% of the tangible personal property costs of establishing the headquarters. (South Carolina Department of Commerce)",4. Credit: Carryforward,Investment tax credits,South Carolina_Enhanced Corporate Headquarters Tax Credit
South Carolina,Investment Tax Credit,No,$0,"Top-line: If Yes, benefit (assuemd average rate based on range of useful lives) * M&E year 0",,"Top-line: If Yes, benefit is 1.5% (or 2.5%?) of Machinery & Equipment for 1 year. CONFIRM AND FIX WITH TAX EXEMPTION WORK",- Integrate carryforward,,,1 year,10 years,"The credit may be used to offset up to 100% of corporate income tax liability, and unused credits may be carried forward for up to 10 years",Low,Depends on recovery period of the properyt,,South Carolina allows manufacturers locating or expanding in South Carolina a one-time credit against a company’s corporate income tax of up to 2.5% of a company’s investment in new production equipment. (South Carolina Department of Commerce),4. Credit: Carryforward,Investment tax credits,South Carolina_Investment Tax Credit
South Carolina,Research and Development Tax Credit,Yes,$0,"Top-line: If Yes, R&D spend * 5% benefit, max 50% tax liability after all credits have been applied",* Very straightforward R&D claim form. https://dor.sc.gov/forms-site/Forms/TC18.pdf,Top-line: [R&D tax credit work],- Integrate ceilings and carryforward,,,Within year,10 years,The credit taken in any one taxable year may not exceed 50% of the company’s remaining tax liability after all other credits have been applied. Any unused portion of the credit can be carried forward for 10 years from the date of the qualified expenditure.,Low,Criteria-driven,, South Carolina offers a credit equal to 5% of the taxpayer’s qualified research expenses as defined in Section 41 of the Internal Revenue Code. (South Carolina Department of Commmerce),4. Credit: Carryforward,R&D tax credits,South Carolina_Research and Development Tax Credit
South Carolina,Corporate Income Tax Moratorium,No,$0,"Top-line: If Yes, benefit equals corporate income tax for 10-15 years, depending on min jobs created.

Requirements: county unemployment rate is 2x state average",,"Top-line: If Yes, benefit equals corporate income tax for 15 years","- Fix CIT rates in top half
- Integrate multiples of state unemployment averages for loality",,** Check notes to update / fix CIT rates in top half **,10-15 years,n/a - moratorium like an exemption,Corporate income tax,Medium,"In order to qualify for the moratorium, a company must also obtain certification through an application process from the Coordinating Council that the project will have a significant beneficial effect on the region for which it is planned and that the benefits of the project to the public exceed its costs.",,Companies creating net new jobs in some economically distressed counties in South Carolina will benefit from a corporate income tax moratorium. Companies that qualify for the moratorium will be able to entirely eliminate their state corporate income tax liability for a period of either 10 or 15 years. (South Carolina Department of Commerce),3. Exemption,Tax exemptions,South Carolina_Corporate Income Tax Moratorium
South Carolina,Job Development Credit (or Job Development Credit),No,$0,"Top-line: If Yes, minimum of [(withholding rate (6.43%) * FTEs * avg. salary) or ($3,250 per FTE * FTEs)]

Requirements
- Min jobs (10), min county wage (100%), sector requirements (see table), health insurance requirement
- Note $4K application fee and $500 renewal, not integrated",* Source. Payroll tax rate. https://dor.sc.gov/forms-site/Forms/WH1603F_2020.pdf,"Top-line: If Yes, minimum of [(withholding rate (6.43%) * FTEs * avg. salary) or ($3,250 per FTE * FTEs)]",- Integrate county wages; $4K application fee and $500 renewal,,* Update sector codes for qualified service-related,10 years,n/a - treat as a gratn,"South Carolina’s Enterprise Program is substantially dierent from the state’s other tax incentives because it does not reduce a particular tax liability; instead, it provides companies with funds to oset the cost of locating or expanding a business facility in this state. ",Medium,Application ,,"The Job Development Credit eectively uses the personal withholding taxes of new employees to reimburse qualied, approved companies that add value to South Carolina and the community in which they locate. These reimbursements are for eligible capital expenditures (land, building, site development, pollution control equipment or infrastructure) associated with projects creating new full-time jobs that also provide health care benets for South Carolina citizens (SC Coordinating Council for Economic Development)",1. Grant,Payroll tax witholding tax credits,South Carolina_Job Development Credit (or Job Development Credit)
South Carolina,Sales tax exemptions,Yes,"$844,850","Top-line: If Yes, sales tax rate * M&E ongoing purchases. For Manufacturing and distribution center, construction materials included

Details
- Some sectors have min capex, jobs, and/or wage req's",,Top-line: [SALES TAX EXEMPTION WORK],"- Update MME and structure share of capex
- Integrate technology-intensive materials NAICS
- Integrate county per capita wages",,* Update sector codes for tech,Within year,n/a - exemption,,,,,General sales and use tax exemption for specific sectors and/or activities. (General description),3. Exemption,Tax exemptions,South Carolina_Sales tax exemptions
South Carolina,Data centers sales tax exemption,No,$0,"Top-line: If Yes, sales tax rate * M&E ongoing purchases

Requirements
- Min jobs (25), capex ($50M), state or county wages (150%)",,Top-line: [SALES TAX EXEMPTION WORK],- State or county per capita wage,,,Within year,n/a - exemption,,,,,Technology intensive” companies locating or expanding in South Carolina may be exempt from some sales and use taxes when the new or expanding facility meets certain investment and job creation requirements. (South Carolina Department of Commerce),3. Exemption,Tax exemptions,South Carolina_Data centers sales tax exemption
South Carolina,Property tax exemptions and abatements,No,$0,"Top-line: If Yes, average benefit of 25-50% mentioned in report (so, 35%) * property tax bill

Requirements
- Sectors (manufacturing, distribution center, corporate HQ)
- Min capex of $50K
- Min jobs of 75",,"Top-line: If Yes, benefit of 35% of property taxes * property taxes
Personal property taxes calculated as follows: Template P&L statement's total real and personal property taxable base",- Confirm eligibility (all?),,* Two different programs and criteria… exemptions and abatements,Within year,n/a - exemption,,Medium,"Exemption: Proportional reduction… Pursuant to new legislation, 14.2857% of the property tax value of manufacturing property assessed for property tax purposes will be exempt from property taxation; provided, however, that the total amount of the exemption for all entities in the state for that fiscal year will not exceed $85 million. For any year in which the amount is projected to exceed $85 million, the exemption amount shall be proportionally reduced. This new exemption is being phased in equal installments over six years which began in 2018. ",,"In support of business, South Carolina exempts three classes of property from local property taxation. (South Carolina Department of Commerce)",3. Exemption,Tax exemptions,South Carolina_Property tax exemptions and abatements
South Dakota,South Dakota Jobs Grant Program,Yes,"$302,931","Top-line: If Yes, median figure of $7,750 per job from Incentives Monitor * FTEs for assumed 1 year

Eligibility: maximum investment of $20M or maximum equipment upgrade of $2M. I just used max investment as the ceiling. 

Note: Only 24 cases in Incentives Monitor, whose median figure I used",,"Top-line: Median per job award of $7,750 from Incentives Monitor * FTEs for assumed 1 year",- Reintegrate to incentives moniotor?,,,Assumed 1 year,n/a - grant,n/a - grant,Medium,Application on rolling approval basis,n/a,The program is available to assist companies in offsetting the upfront costs associated with relocating or expanding operations and/or upgrading equipment in South Dakota. (SD Office of Economic Development).,1. Grant,Major projects grants,South Dakota_South Dakota Jobs Grant Program
South Dakota,Reinvestment Payment Program,Yes,"$863,061","Top-line: If Yes, median figure of $53,333 per job from Incentives Monitor * FTEs, with max payout of sales tax on capex (buildings + M&E + fixtures) for assumed 1 year. Thus, effective payout is sales tax on structure and M&E in year 0.

Details: 
- On capex investments of $20M+",* Max payout is sales/use tax,"Top-line: Huge median per job figure from Incentives Monitor of $53,333 per job * FTEs for assumed 1 year. Max payout ln sales tax though. [TAX EXEMPTION WORK]",- Reintegrate to incentives moniotor?,,,Assume 1 year,n/a - sales tax cap. Treat like refundable credit,Sales taxes,Medium,Application on rolling approval basis,n/a,"The Reinvestment Payment Program provides reinvestment payments to projects in excess of $20,000,000, or with equipment upgrades in excess of $2,000,000. The awards are intended for projects that would not have occurred without the reinvestment payment. (SD Office of Economic Development)",5. Credit: Refundable,Investment tax credits,South Dakota_Reinvestment Payment Program
South Dakota,South Dakota Workforce Development Program,Yes,"$19,544","Top-line: If Yes, typical benefit per worker from pdf overview of $500 * FTEs for 1 year.

Details: Must meet minimum $14/hour and benefits (assumed Yes)",* Consider doing the 50% of training costs instead. I think I used 50% benchmark in other states as well… makes it apples-to-apples,"Top-line: If Yes, benefit of $500 per job * FTEs for 1 year",- Check industry listing,,,Assumed 1 year,n/a - grant,n/a - grant,Medium,Must apply.,n/a,"Through matching grants, the Workforce Development Program funds industry-education partnerships through which customized training programs and short-term, job specific training is delivered. (SD Office of Economic Development)",1. Grant,Job training grant or credit,South Dakota_South Dakota Workforce Development Program
South Dakota,FYI. Businesses not subject to following taxes,n/a,$0,n/a,,n/a,- Just confirm,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,South Dakota_FYI. Businesses not subject to following taxes
Tennessee,"FastTrack Infrastructure, job training assistance, and economic development grants",No,$0,"Top-line: Bundled FastTrack infrastructure (grant direct to local authority), job training assistance, and economic development grants together. If Yes, average 2016-2019 average grant per FTE of $4,651 * FTEs. Max is $750K. 

Note: Did not include bonus/premiums because these bumpups should be included in average figures. ","* Source on max $750K award. https://law.justia.com/codes/tennessee/2014/title-4/chapter-3/part-7/section-4-3-717/

** Not printable. * Average fasttrack data. https://www.tn.gov/transparenttn/open-ecd/openecd/tnecd-performance-metrics/openecd-business-development-quick-stats/fasttrack-cost-per-job.html","Top-line: If Yes, 2016-2020 average grant per job * FTEs for 1 year","- Add in county wages
- Did not include bonus for locating in distressed county because average grant figure should include the bonus
- Did not integrate FastTrack Infrastructure Prrogram  (funds go to local entity)",,,1 year,n/a - grants and services,,Medium,Application/discretion by nature,,"Variety of incentives including infrastructure grants to local governments to support specific projects, job training assistance, and an economic development grant program. (Adapted from Tennessee Department of Economic and Community Development)",1. Grant,Major projects grants,"Tennessee_FastTrack Infrastructure, job training assistance, and economic development grants"
Tennessee,Job Tax Credit,Yes,"$175,896","Top-line: If Yes, sum of standard benefit ($4500 per job) and community resurgence ($2500 per job if meet req's) * FTEs for assume 1 year. Max share of tax liability is 50% but I do not model this in... instead, it'll carryforward based on the next tab.

Requirements 
- Standard: min 25 jobs, min $500K capex
- Community resurgence: min 10 jobs; meets state avg occupation wages; located in census tract (used county) with poverty rate over 30% (if no county selected, ""No"" given)",,"Top-line: If Yes, award amount ($4,500) * FTEs for 1 year","- Integrate carryforward
'- Update with state average occupation wage
- Integrate census tract and poverty rates?",,,1 year,Up to 15 years,"Credit of $4,500 per job to offset up to 50% of franchise and excise (F&E) taxes in any given year with a carry forward for up to 15 years.",Medium,"""Up to"" language",,"Credit of $4,500 per job to offset up to 50% of franchise and excise (F&E) taxes in any given year with a carry forward for up to 15 years. (Tennessee Department of Economic and Community Development)",4. Credit: Carryforward,Job tax credits,Tennessee_Job Tax Credit
Tennessee,Enhanced Job Tax Credit,No,$0,"Top-line: If Yes, $4500 per job credit * FTEs, benefit years depends on Tier and requirements

Details: 
- Tier table includes min jobs and min capex. 
- If Enhancement County, 100% max offset of F&E tax liability. Assume the others are 50%. 
- If no county selected, assumed Tier 1, so by default, program is not applied
* Need to do carryforward. A bit trickier since credit builds over multiple years","*** Could not print a better version. https://tnecd.com/advantages/incentives-grants/

* Integrate enhancement county (JTC)","Top-line: If Yes, benefit ($4,500) * FTE for 3 years",-I Integrate county details; I think affect award years,,* Add in enhancement county,3-5 years,None,Enhanced JTC can offset up to 100% of F&E liabilit,Medium,"""Up to"" language",,"In addition to the Job Tax Credit benefits, this addition allows an additional annual credit for locations/expansisons in designated Tier 2, Tier 3, and Tier 4 Enhancement counties. (Tennessee Department of Economic and Community Development)",6. Credit: No carryforward,Job tax credits,Tennessee_Enhanced Job Tax Credit
Tennessee,Industrial Machinery Tax Credit,Yes,"$113,251","Top-line: Based on capex (M&E) amount, benefit percentage of M&E

Requirements:
- Sectors: manufacturing, distribution center, corprate HQ, call centers",* Source. https://openei.org/wiki/The_Industrial_Machinery_Tax_Credit_(Tennessee),Top-line: [TAX EXEMPTION WORK],"- Check/update MME share of capex; may affect award years
- What to do about F&E tax credit? ",,* Check years,Within year,UP to 15 years,This incentive may be used to offset up to 50% of the company’s F&E tax liability. Any unused Industrial Machinery Tax Credit may be carried forward for up to 15 years. ,Low,Must file a business plan but seems straightforward; claim on franchise and excise tax form,,"Credit of 1% to 10% for the purchase, third party installation and repair of qualifiednindustrial machinery. (Tennessee Department of Economic and Community Development)",4. Credit: Carryforward,Investment tax credits,Tennessee_Industrial Machinery Tax Credit
Tennessee,Sales tax exemptions,Yes,"$1,079,279","Top-line: If Yes, non-HQ sectors are sales tax rate * M&E. If HQ, benefit is 6.5% benefit * personal property

Requirements
- Depending on sector, min jobs, capex, wage requirements. ",,Top-line: [TAX EXEMPTION WORK],"- Work on MME and structure share of capex
- Is there a state avg. occupational wage piece? 
- Confirm data center sales tax is same 7%",,,Within year,n/a - exemption,,Low,Criteria based,,General sales and use tax exemption for specific sectors and/or activities. (General description),3. Exemption,Tax exemptions,Tennessee_Sales tax exemptions
Texas,Texas Enterprise Fund (TEF),No,$0,"Top-line: If Yes, median per job grant of $5,886 from Incentives Monitor * FTEs for assumed 1 year

Eligibility
- If Rural, min 25 jobs and must meet min county wages
- If Urban, min 75 jobs and must meet county average wages",* Guidance on years?,"Top-line: If Yes, average grant per job of $6,822 from Incentives Monitor * FTEs for assumed 1 year","- Check for more guidance
- Integrate urban vs rural
- Integrate county",,,Assumed 1 year,n/a - deal-closing grant,Assume refundable cash grant,Highly discretionary,Deal-closing grant fund,n/a,"The Texas Enterprise Fund awards ""deal-closing"" grants to companies considering a new project for which a single Texas site is competing with another viable out-of-state site. (TX Business Incentives and Programs Overview)",1. Grant,Major projects grants,Texas_Texas Enterprise Fund (TEF)
Texas,Enterprise Zones,No,"$98,853","Top-line: If Yes, minimum of [sales tax rate * qualified capex (structure and M&E) from template P&L] or [max FTEs allocated * max refund per job based on capex tables] for assumed 1 year

Details: 
- Must meet geographic criteria. Currently, says ""Yes"" if county includes an EZ  but not necessarily if project is locating in an EZ
- Max refund per job dependent upon capital investment levels and jobs
- Assumed 1 year period since there is a max payout","* Guidance on years?
* Where did I get the half enterprise tables? ","Top-line: If Yes, minimum of [sales tax rate * qualified capex (structure and M&E) from template P&L] or [max FTEs allocated * max refund per job based on capex tables] for assumed 5 years

Details: 
- Must meet geographic criteria. Currently, says ""Yes"" if county includes an EZ  but not necessarily if project is locating in an EZ
- Max refund per job dependent upon capital investment levels and jobs","- Coplicated math. Check math and tax rates
- Standard sales tax rate checks
- Do they come with their own data center and sales tax exemptions? ",,* Assumed exemption taken in year one since there are max payouts. ,Assume taken for Year 0,n/a,n/a sales tax exemption,Low,,n/a,"The Texas Enterprise Zone Program is an eco nomic development tool that enables local commu nities to partner with the State of Texas to promote job creation and capital investment in economical ly distressed areas of the state. Local communities may provide incentives such as tax abatements, fee waivers and reduced regulations to businesses within an enterprise zone. (TX Comptroller)",3. Exemption,Geographic credits,Texas_Enterprise Zones
Texas,Data Center Sales Tax Exemption,No,$0,"Top-line: If Yes, sales tax rate * M&E from template P&L

Eligibility:
- Minimum 20 jobs at 120% min county wages and minimum $200M capex
- Minimum 100K sq. ft requirement, assumed Yes",,"Top-line: If Yes, sales tax rate * M&E from template P&L

Eligibility:
- Minimum 20 jobs and minimum $200M capex
- Need to confirm minimum 100K sq. ft requirement",- Standard math check,,,"Within year, up to 10-20 years",n/a - exemption,n/a - sales tax exemption,Low,,n/a,"Texas provides 100% exemption on sales tax for computers, equipment, cooling systems, power infrastructure, electricity and fuel for Data Centers meeting the minimum thresholds of $200 million in capital investment, 20 new jobs, and an average salary at least 120% of the county average salary. (TX Business Incentives and Programs Overview)",3. Exemption,Tax exemptions,Texas_Data Center Sales Tax Exemption
Texas,Sales Tax Exemption with Manufacturing,No,$0,"Top-line: If Yes, sales tax rate * M&E from template P&L",,"Top-line: If Yes, sales tax rate * M&E from template P&L",- Standard math check,,,Within year,n/a - exemption,n/a - sales tax exemption,Low,,Sales and use tax exemption,"State sales and use tax exemptions are available to taxpayers who manufacture, fabricate or process tangible personal property for sale. (TX Comptroller)",3. Exemption,Tax exemptions,Texas_Sales Tax Exemption with Manufacturing
Texas,Texas Research & Development Tax Credit,No,$0,"Top-line: If Yes, sales tax rate * M&E from template P&L

Note: Two options: franchise tax credit or sales tax exemption on M&E. I only modeled sales tax exemption",,"Top-line: If Yes, sales tax rate * M&E from template P&L

Note: Two options: franchise tax credit or sales tax exemption on M&E. I only modeled sales tax exemption",,,* Need to note that I only did sales and use tax on M&E not franchise tax exemption based on research expenses,Within year,n/a - exemption,n/a - sales tax exemption,Low,,Sales and use tax exemption," A person engaged in qualified research can claim either: (1) a sales and use tax exemption on the purchase, lease, rental, storage or use of depreciable tangible personal property directly used in qualified research, or (2) a franchise tax credit based on qualified research expenses. Model uses option one. (TX Comptroller)",3. Exemption,R&D tax credits,Texas_Texas Research & Development Tax Credit
