Unique ID,Incentive per job,Program.Name,Program,Deal date,Deal type,Freezone?,Domestic/FDI?,Region/state,CBSA,Capex,New jobs,Incentive (USD m),Incentive per job,Incentive type,Incentive objective(s),NAICS Industry,NAICS Sector,NAICS Sub-sector,Industry sector,Industry activities,fDi Markets Sector,fDI Markets Activity
38,7619.047619,Program.1,Commonwealth Opportunity Fund,Mar-19,New,No,Domestic,Virginia,Not specified,10.29,42,0.32,7619,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Chemicals, plastics & rubber products ma..",Plastics product manufacturing,Plastics packaging materials & unlaminat..,Basic Materials,Manufacturing,Plastics,Manufacturing
39,6000,Program.1,Commonwealth Opportunity Fund,Feb-19,New,No,Domestic,Virginia,"Roanoke, VA",20,50,0.3,6000,Grant/Subsidy,"Capital Investment, Employment/People","Wood, paper, printing, furniture",Paper manufacturing,"Pulp, paper, and paperboard mills",Consumer Goods,Manufacturing,"Paper, Printing & Packaging",Manufacturing
40,8571.428571,Program.1,Commonwealth Opportunity Fund,Jan-19,Expansion,No,Domestic,Virginia,Not specified,2.1,35,0.3,8571,Grant/Subsidy,"Capital In.., Regional/L.., Employment..",Machinery & metal manufacturing,Fabricated metal product manufacturing,"Machine shops, turned products, screw, n..",Industrial Goods,Manufacturing,Metals,Manufacturing
41,15000,Program.1,Commonwealth Opportunity Fund,Jan-19,Expansion,No,Domestic,Virginia,"Roanoke, VA",0,100,1.5,15000,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..",Computer systems design and related serv..,Custom computer programming services,Information Technology & Telecom (ITT),Data Center,Software & IT services,ICT & Internet Infrastructure
42,8000,Program.1,Commonwealth Opportunity Fund,Dec-18,Expansion,No,FDI,Virginia,"Roanoke, VA",7.8,25,0.2,8000,"Grant/Subsidy, Loan/Credit","Capital In.., Regional/L.., Employment..","Textiles, apparel, leather & related",Textiles mills,Textiles mills,Basic Materials,Manufacturing,Textiles,Manufacturing
43,9680,Program.1,Commonwealth Opportunity Fund,Dec-18,New,No,Domestic,Virginia,"Danville, VA",15.1,500,4.84,9680,"Grant/Subsidy, Loan/Credit","Capital In.., Regional/L.., Employment..",Other services,Administration & support services,Business support services,Services,Call Center,Business Services,Customer Contact Centre
44,6176.470588,Program.1,Commonwealth Opportunity Fund,Dec-18,New,No,Domestic,Virginia,"Roanoke, VA",3.4,34,0.21,6176,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Textiles, apparel, leather & related",Apparel manufacturing,Cut & sew apparel manufacturing,Consumer Goods,Manufacturing,Textiles,Manufacturing
45,2808.988764,Program.1,Commonwealth Opportunity Fund,Dec-18,Expansion,No,Domestic,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",9.6,89,0.25,2809,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Industrial Goods,Headquarters (HQ),"Industrial Machinery, Equipment & Tools",Headquarters
46,17333.33333,Program.1,Commonwealth Opportunity Fund,Dec-18,Expansion,No,FDI,Virginia,"Danville, VA",31.2,45,0.78,17333,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Chemicals, plastics & rubber products ma..",Plastics product manufacturing,Other plastics product manufacturing,Consumer Goods,Manufacturing,Plastics,Manufacturing
47,7500,Program.1,Commonwealth Opportunity Fund,Nov-18,Expansion,No,FDI,Virginia,"Richmond, VA",1.89,20,0.15,7500,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Machinery equipment,Other general purpose machinery manufact..,Industrial Goods,Manufacturing,"Industrial Machinery, Equipment & Tools","Logistics, Distribution & Transportation"
48,3095.238095,Program.1,Commonwealth Opportunity Fund,Nov-18,Expansion,No,Domestic,Virginia,Not specified,1.6,42,0.13,3095,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle body & trailer manufacturing,Motor vehicle body & trailer manufacturing,Automotive,Manufacturing,Automotive Components,Manufacturing
49,3114.754098,Program.1,Commonwealth Opportunity Fund,Nov-18,Expansion,No,FDI,Virginia,"Winchester, VA-WV",10.3,61,0.19,3115,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle parts manufacturing,Other motor vehicle parts manufacturing,Automotive,Manufacturing,Automotive Components,Manufacturing
50,9387.755102,Program.1,Commonwealth Opportunity Fund,Nov-18,New,No,FDI,Virginia,"Danville, VA",8,49,0.46,9388,Grant/Subsidy,"Capital In.., Regional/L.., Employment..",Machinery & metal manufacturing,Fabricated metal product manufacturing,Architectural & structured metals manufa..,Industrial Goods,Manufacturing,Metals,Manufacturing
51,2000,Program.1,Commonwealth Opportunity Fund,Oct-18,Expansion,No,FDI,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",30,500,1,2000,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..","Accounting, tax preparation, bookkeeping..","Accounting, tax preparation, bookkeeping..",Services,Business Services,Business Services,Business Services
52,13846.15385,Program.1,Commonwealth Opportunity Fund,Oct-18,New,No,FDI,Virginia,"Danville, VA",7,65,0.9,13846,Grant/Subsidy,"Capital In.., Regional/L.., Employment..",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Basic Materials,Headquarters (HQ),Textiles,Headquarters
53,4933.333333,Program.1,Commonwealth Opportunity Fund,Oct-18,Expansion,No,Domestic,Virginia,"Roanoke, VA",10.4,75,0.37,4933,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Agriculture, food, & related",Food manufacturing,Bakeries & tortilla manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
54,2366.666667,Program.1,Commonwealth Opportunity Fund,Sep-18,Expansion,No,Domestic,Virginia,"Martinsville, VA",30,300,0.71,2367,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Agriculture, food, & related",Food manufacturing,Snack Food Manufacturing,Food & Drink,Manufacturing,Food & Tobacco,Manufacturing
55,10000,Program.1,Commonwealth Opportunity Fund,Aug-18,New,No,Domestic,Virginia,"Charlottesville, VA",12.3,200,2,10000,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Information Technology & Telecom (ITT),Headquarters (HQ),Software & IT services,Headquarters
56,4166.666667,Program.1,Commonwealth Opportunity Fund,Aug-18,New,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5.5,120,0.5,4167,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..","Aerospace, Defence and Marine (ADM)",Headquarters (HQ),Aerospace,Headquarters
57,8679.245283,Program.1,Commonwealth Opportunity Fund,Jul-18,New,No,FDI,Virginia,"Roanoke, VA",43.55,212,1.84,8679,Grant/Subsidy,"Capital In.., Regional/L.., Employment..",Petroleum & coal products & nonmettalic ..,Nonmetallic mineral product manufacturing,Glass & glass product manufacturing,Basic Materials,Manufacturing,Ceramics & Glass,Manufacturing
58,3703.703704,Program.1,Commonwealth Opportunity Fund,Jul-18,Expansion,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",13.75,135,0.5,3704,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Aerospace product & parts manufacturing,Aircraft manufacturing,"Aerospace, Defence and Marine (ADM)",Manufacturing,Aerospace,Manufacturing
59,13928.57143,Program.1,Commonwealth Opportunity Fund,Jul-18,New,No,FDI,Virginia,"Roanoke, VA",275,140,1.95,13929,Grant/Subsidy,"Capital Investment, Employment/People","Wood, paper, printing, furniture",Paper manufacturing,Converted paper product manufacturing,Consumer Goods,Manufacturing,"Paper, Printing & Packaging",Manufacturing
60,6437.5,Program.1,Commonwealth Opportunity Fund,Jul-18,New,No,FDI,Virginia,Not specified,35,160,1.03,6438,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Wood, paper, printing, furniture",Wood product manufacturing,Wood product manufacturing,Basic Materials,Manufacturing,Wood Products,Manufacturing
61,2083.333333,Program.1,Commonwealth Opportunity Fund,Jun-18,Expansion,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",16,240,0.5,2083,Grant/Subsidy,"Capital Investment, Employment/People",Information,Broadcasting,Radio & TV broadcasting,Creative Industries,"Research, Design & Development (RDD)",Communications,Research & Development
62,3225.806452,Program.1,Commonwealth Opportunity Fund,Jun-18,New,No,FDI,Virginia,Not specified,12,31,0.1,3226,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Chemical manufacturing,"Resin, synthetic rubber, & artificial sy..",Basic Materials,Manufacturing,Chemicals,Manufacturing
63,6250,Program.1,Commonwealth Opportunity Fund,May-18,Expansion,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,120,0.75,6250,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Educational services,Other schools & instruction,Services,Business Services,Business Services,Education & Training
64,11533.33333,Program.1,Commonwealth Opportunity Fund,Apr-18,Expansion,No,FDI,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,150,1.73,11533,"Grant/Subsidy, Unspecified","Capital In.., Employment.., Unspecified",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Food & Drink,Headquarters (HQ),Food & Tobacco,Headquarters
65,6666.666667,Program.1,Commonwealth Opportunity Fund,Apr-18,New,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",28.4,600,4,6667,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Information Technology & Telecom (ITT),Headquarters (HQ),Software & IT services,Headquarters
66,5882.352941,Program.1,Commonwealth Opportunity Fund,Mar-18,Expansion,No,Domestic,Virginia,"Lynchburg, VA",9.2,34,0.2,5882,Grant/Subsidy,"Capital Investment, Employment/People","Chemicals, plastics & rubber products ma..",Plastics product manufacturing,Other plastics product manufacturing,Basic Materials,Manufacturing,Plastics,Manufacturing
67,3333.333333,Program.1,Commonwealth Opportunity Fund,Mar-18,Expansion,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6,300,1,3333,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Information Technology & Telecom (ITT),Headquarters (HQ),Software & IT services,Headquarters
68,7285.714286,Program.1,Commonwealth Opportunity Fund,Mar-18,New,No,Domestic,Virginia,"Danville, VA",5.8,70,0.51,7286,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Chemicals, plastics & rubber products ma..",Chemical manufacturing,Medicinal & botanical,Life Sciences,Manufacturing,Pharmaceuticals,Manufacturing
69,5000,Program.1,Commonwealth Opportunity Fund,Feb-18,New,No,Domestic,Virginia,"Blacksburg-Christiansburg-Radford, VA",2.5,60,0.3,5000,"Grant/Subsidy, Unspecified","Capital Investment, Employment/People",Machinery & metal manufacturing,Machinery equipment,"Agriculture, construction, & mining mach..",Industrial Goods,Manufacturing,"Industrial Machinery, Equipment & Tools",Manufacturing
70,6222.222222,Program.1,Commonwealth Opportunity Fund,Jan-18,Expansion,No,Domestic,Virginia,"Danville, VA",7.1,90,0.56,6222,Grant/Subsidy,"Capital In.., Regional/L.., Employment..",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Automotive,Headquarters (HQ),Automotive Components,Headquarters
71,7692.307692,Program.1,Commonwealth Opportunity Fund,Jan-18,Expansion,No,FDI,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",10,26,0.2,7692,Grant/Subsidy,"Capital Investment, Employment/People",Other services,Management of companies & enterprises,"Corporate, subsidiary, & regional managi..",Industrial Goods,Headquarters (HQ),"Industrial Machinery, Equipment & Tools",Headquarters
72,11206.89655,Program.1,Commonwealth Opportunity Fund,Jan-18,Expansion,No,Domestic,Virginia,"Richmond, VA",45.24,58,0.65,11207,Grant/Subsidy,"Capital Investment, Employment/People",Machinery & metal manufacturing,Primary metal manufacturing,Alumina & aluminium production & procesing,Industrial Goods,Manufacturing,Metals,Manufacturing
73,4666.666667,Program.1,Commonwealth Opportunity Fund,Jan-18,Expansion,No,Domestic,Virginia,Not specified,10,15,0.07,4667,Grant/Subsidy,"Capital Investment, Employment/People","Textiles, apparel, leather & related",Textiles mills,Textiles mills,Consumer Goods,Manufacturing,Textiles,Manufacturing
74,2409.638554,Program.1,Commonwealth Opportunity Fund,Jan-18,New,No,Domestic,Virginia,"Blacksburg-Christiansburg-Radford, VA",4.1,83,0.2,2410,Grant/Subsidy,"Capital Investment, Employment/People",Transportation equipment manufacturing,Motor vehicle body & trailer manufacturing,Motor vehicle body & trailer manufacturing,Automotive,Manufacturing,Automotive Components,Manufacturing
75,2956.521739,Program.1,Commonwealth Opportunity Fund,Jan-18,Expansion,No,Domestic,Virginia,"Roanoke, VA",4,115,0.34,2957,Grant/Subsidy,"Capital Investment, Employment/People",Finance & insurance,Finance & insurance,"Securities, commodity contracts, & other..",Services,Business Services,Financial Services,Business Services
76,2197.530864,Program.1,Commonwealth Opportunity Fund,Dec-17,New,No,FDI,Virginia,"Kingsport-Bristol-Bristol, TN-VA",19.9,405,0.89,2198,Grant/Subsidy,"Capital In.., Regional/L.., Employment..","Textiles, apparel, leather & related",Textiles mills,Textiles mills,Consumer Goods,Manufacturing,Textiles,Manufacturing
77,5272.727273,Program.1,Commonwealth Opportunity Fund,Dec-17,New,No,Domestic,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",54.7,1100,5.8,5273,"Tax, Grant/Subsidy","Capital Investment, Employment/People",Computers & electronics,"Electrical equipment, appliance, and com..",Other electrical equipment & component m..,Electronics,Manufacturing,Electronic Components,Manufacturing
78,1562.5,Program.1,Commonwealth Opportunity Fund,Nov-17,New,No,Domestic,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV",12.5,320,0.5,1563,Grant/Subsidy,"Capital Investment, Employment/People","Professional, scientific, technical & ed..",Scientific research & development services,Research and Development in the Social S..,Services,Business Services,Business Services,Business Services
79,3000,Program.1,Commonwealth Opportunity Fund,Oct-17,New,No,Domestic,Virginia,"Roanoke, VA",10,50,0.15,3000,Grant/Subsidy,"Capital Investment, Employment/People","Agriculture, food, & related",Food manufacturing,Tea and Coffee Manufacturing,Food & Drink,Manufacturing,Beverages,Manufacturing
