,FIPS,county,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040,pop_2041,pop_2042,pop_2043,pop_2044,pop_2045,pop_2046,pop_2047,pop_2048
2518,47181,"Wayne,TN",1027.8509000525,1014.775585733,996.8272359692,978.0274285538999,963.5005098382001,955.6801017576,941.1551939683001,925.6618119204,909.7952345622001,898.0482577092,879.4446694354,861.6090063429001,844.3412622442,826.5489673004,809.8288621894,794.7380264059,776.9473074033,762.6762119048,749.1167505072999,737.3713790086999,722.7624120406,709.2943737759,699.4041681324001,686.9720155457001,677.204224767,665.0591563245,656.9846446118,646.7500136953,637.8348552895,626.9333944309999,616.764427716
2519,47183,"Weakley,TN",2369.2116450594,2308.422786268,2250.6316639306,2189.4480247463,2132.7796406557,2081.7835594663998,2029.9486792536002,1978.2385943231002,1924.971109205,1872.6883557718,1822.5403019627001,1767.8296135509,1715.6082296435998,1670.2531554436,1619.2467336422,1576.1125108610001,1533.375354519,1488.6640972799999,1444.8221024460001,1405.4432925170001,1369.1645133430002,1332.304337805,1298.523387223,1267.085435113,1238.575767507,1211.0934570299999,1183.884182003,1158.6647170679998,1134.5074816869999,1112.081481556,1087.787896292
2520,47185,"White,TN",2060.9602023615,2027.6215302189,1992.4021927345,1958.4029394176,1930.6270767760998,1900.6043125187998,1862.1886998342002,1820.7960230929998,1788.523529013,1750.5366812723,1713.2085714242,1673.5366590425,1640.3160305996,1604.0686641510997,1569.329569923,1529.1273704069001,1489.8995148371,1452.0273665569998,1422.8271786564,1385.4535555319999,1352.926189404,1324.3716737739999,1292.584610334,1264.202626016,1234.487624387,1206.710372894,1183.2307471010001,1159.0993333610002,1135.093220188,1110.830951084,1084.833606562
2521,47187,"Williamson,TN",10419.644885597001,10643.443042501,10851.6498210316,11116.0388376074,11369.8999096475,11600.0489798829,11841.1649933059,12080.1341545388,12323.285993927098,12527.143340767801,12699.026355403901,12891.2339728716,13062.260193413898,13206.170282798501,13322.437700668303,13465.467210604598,13599.7038026934,13714.200590934899,13836.860775244602,13918.6723458134,14004.1927710532,14102.5939920977,14179.936558615002,14255.2682146641,14336.1241664218,14413.533666778701,14485.6459640054,14561.537314751899,14659.901836514899,14753.7381945938,14844.9168366355
2522,47189,"Wilson,TN",9161.040137556,9183.1243848886,9209.8923071751,9232.102795742998,9239.4670601034,9219.956278315301,9206.391448083301,9199.424799615801,9184.223555234,9169.1485499475,9145.37769601,9121.1173773698,9087.8743913459,9058.3456368162,9013.965003952,8967.5710987672,8916.2289658438,8862.2334881238,8796.817587963702,8741.7038430371,8701.981617123001,8642.1575831962,8596.1954772989,8549.4554868818,8507.1754082043,8473.6452903533,8423.3023005511,8387.9685435482,8358.8127607719,8322.9314039243,8301.9863006572
2523,48001,"Anderson,TX",3343.5216691254,3300.4745234201,3256.7494948981002,3215.2056307254998,3172.47915352,3136.8987236212006,3090.0076618639005,3051.5710603686002,3024.4829723055,2999.5977239219997,2966.5252239642996,2933.6341925368,2899.2431618291002,2865.3147325820005,2825.887312761,2793.9220709715,2762.3035087099,2725.8044668743,2696.8012589104,2658.7577570259996,2624.0838151476005,2586.128636918,2550.6818648522003,2513.8257321634997,2477.2548658884,2439.0640921303,2398.6364302209004,2362.9994238436,2321.595484945,2284.2041374773,2246.5453800021
2524,48003,"Andrews,TX",678.9928994649999,676.3542581666001,672.5419302437999,670.2964615427999,667.8021091142,664.9467377991,664.4641070311,661.9560325545999,655.8617799360001,649.5561783288999,645.9498687727,639.9150178246999,636.7576498947999,631.4924149553001,625.7600271395,621.1927417618,614.3782534377999,608.8464849178,602.3247402613999,596.9109191647,591.7257258484,587.6242912399,585.1588465274,581.5634027253,576.360498862,573.537481522,569.2762540186001,563.6532146415001,557.9205389617,552.6199641917001,549.2570912117001
2525,48005,"Angelina,TX",5775.123111520001,5689.442125875899,5598.830012756501,5516.9244108793,5442.3846378979,5355.5964100914,5275.1950069448,5191.0857048354,5115.435808844499,5030.9099595706,4940.4701265808,4853.1095452065,4776.252554763,4698.5183043441,4620.4380329117,4548.7219772818,4468.141250146899,4390.2318526604995,4311.9737005611,4231.287063859299,4149.6845480703005,4080.5989229220004,4014.6214423167003,3943.2234613691003,3877.5590991697,3815.3847825003004,3756.7440870114,3700.3596235366,3651.541734137,3608.085032765,3565.4497120805995
2526,48007,"Aransas,TX",2638.878811226,2598.8860125795,2563.2065816504996,2523.0979658160004,2480.1458141695,2439.0021735674004,2405.5203338648,2367.2240604758,2332.8892673595997,2301.7024932133,2267.7178781441003,2237.3771359672,2203.9785657362,2175.1648777327,2153.5641814814,2121.7442347585,2087.956525303,2056.6807598480004,2029.3447565973001,1994.7658525922,1964.6380497600999,1936.2189974985,1910.3628377946,1886.4113079778,1863.1578115581,1838.9624408505001,1816.9185541774,1789.5366519250001,1769.4411479151,1751.3954271001,1730.5574685791998
2527,48009,"Archer,TX",590.0705145529,576.6825033931,564.3505372865,556.7725574069,547.6716139527999,535.4838705012,527.031895984,514.9562312318001,502.82625341409994,493.2636021399,485.21101693640003,475.9948761969,465.1718683056,455.75854865990004,442.1636465801,432.0065167194,422.80024746690003,409.96378682840003,401.54658479479997,391.45110265089994,381.83796804319996,373.5029311624,363.6663954687,356.1236895031,348.3475294719,341.6458214636,334.7776559031,328.21665331459997,320.8978788375,313.7338250467,305.8425315106
2528,48011,"Armstrong,TX",134.76654206930002,131.94007864780002,130.3409229254,125.1763631062,122.3973145466,119.52068473669999,115.210100637,111.5578595092,106.67406345490001,103.3486838038,99.4203118266,97.00805765890001,94.0133376369,92.4645867048,88.8661202218,85.2914733386,83.3429519533,81.882657904,79.57424681170001,77.65221497350001,75.91426734560001,72.4897837374,71.0890488047,70.47237113739999,69.7880001737,67.4703034706,66.396517303,64.6355099073,62.8991913733,61.270747877800005,59.8595740954
2529,48013,"Atascosa,TX",3257.1698041721997,3234.4549147265,3209.5750534026997,3186.8829012516,3174.379257007,3161.9589402490005,3144.8702426445,3120.8052478291997,3102.3987381844004,3083.1764227454,3062.9740564438002,3032.046496089,3002.5528516215,2971.2951462227998,2936.4527931682,2908.1486712872997,2880.5457216876002,2858.2921807515004,2839.2405921253,2820.5074192406,2801.4846080326,2771.2037430269997,2754.003482654,2743.9493490239997,2724.836678395,2709.340410789,2697.918243906,2686.55523716,2676.8737446799996,2666.921177266,2653.462028544
2530,48015,"Austin,TX",1665.9375233427002,1643.3982188363,1615.3187753762998,1593.1832523247,1569.1278561963998,1550.9503121665,1523.2703278488,1494.0945265043,1471.3560179684,1446.421162974,1417.9741912174,1386.8417054878998,1357.6633592887,1331.4112332705,1302.2302582300001,1273.3886803715,1240.8922023715,1214.9614766977,1188.9463432050002,1164.7561765765001,1139.9549556357,1117.2767485086,1093.9538516175,1074.9201753107,1053.4126750203,1031.8046573458,1012.0391860436,994.9030108899,979.1083337309,964.8698199607,952.5688321482
2531,48017,"Bailey,TX",321.22167876520007,306.597894828,299.6867289296,287.412823588,276.4835101753,266.03416758640003,254.0172570445,244.4301423238,233.0375494112,225.372153799,218.75611032260002,210.4104510169,202.00578375720002,195.25344570820002,189.69501290249997,182.9904162882,176.6318587545,169.2094088212,163.6072735488,157.7112178314,150.9059450835,144.19544835279999,138.529251251,134.5835802752,128.1872405885,124.591011597,121.13904919910001,117.5465860379,113.62141693979999,110.0325941169,107.0422970691
